City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Balkhash,KZ,46.844,74.9804,22.75,83,100,6.13,light snow
1,Puerto Ayora,EC,-0.7393,-90.3518,78.76,90,95,4.0,overcast clouds
2,Klaksvik,FO,62.2266,-6.589,38.32,98,100,31.74,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,77.86,73,12,3.76,few clouds
4,Chuy,UY,-33.6971,-53.4616,78.44,52,17,15.26,few clouds
5,Hermanus,ZA,-34.4187,19.2345,63.9,76,19,12.77,few clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,40,10.36,scattered clouds
7,Port Lincoln,AU,-34.7333,135.8667,63.79,82,0,7.14,clear sky
8,Deputatskiy,RU,69.3,139.9,-35.07,100,98,0.38,overcast clouds
9,Tabou,CI,4.423,-7.3528,80.13,82,93,7.54,overcast clouds
10,New Norfolk,AU,-42.7826,147.0587,56.75,74,100,1.83,overcast clouds
11,Novovasylivka,UA,46.8315,35.7536,26.33,89,91,3.53,overcast clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,89,40,5.75,heavy intensity rain
13,Victoria,HK,22.2855,114.1577,65.25,84,0,1.01,clear sky
14,Puerto Leguizamo,CO,-0.1934,-74.7819,92.28,38,100,3.98,overcast clouds
15,Jiuquan,CN,39.7432,98.5174,14.23,61,4,2.21,clear sky
16,Bengkulu,ID,-3.8004,102.2655,75.31,90,93,3.74,overcast clouds
17,Buala,SB,-8.145,159.5921,80.56,83,100,3.91,light rain
18,Lasa,IT,46.6166,10.7002,46.02,97,100,5.86,moderate rain
19,Saint-Ambroise,CA,48.5501,-71.3324,16.34,91,88,0.22,overcast clouds
20,Muros,ES,42.7762,-9.0603,61.23,91,100,14.45,overcast clouds
21,Thompson,CA,55.7435,-97.8558,-7.44,77,75,2.3,light snow
22,Kodiak,US,57.79,-152.4072,36.91,44,1,3.44,clear sky
23,Castro,BR,-24.7911,-50.0119,64.44,90,80,15.21,broken clouds
24,Mehamn,NO,71.0357,27.8492,13.32,93,94,7.45,overcast clouds
25,Hilo,US,19.7297,-155.09,78.12,62,20,0.0,light rain
26,Salinopolis,BR,-0.6136,-47.3561,83.84,71,8,12.26,clear sky
27,Barrow,US,71.2906,-156.7887,-16.58,76,40,10.36,scattered clouds
28,Port Alfred,ZA,-33.5906,26.891,66.13,72,88,6.49,overcast clouds
29,Sorland,NO,67.667,12.6934,35.46,63,100,24.38,overcast clouds
30,Viedma,AR,-40.8135,-62.9967,101.32,13,67,21.61,broken clouds
31,Sao Filipe,CV,14.8961,-24.4956,76.64,68,0,6.58,clear sky
32,Igarka,RU,67.4667,86.5833,0.46,95,100,11.9,overcast clouds
33,Busselton,AU,-33.65,115.3333,63.09,91,1,10.02,clear sky
34,Jalu,LY,29.0331,21.5482,60.17,64,3,9.71,clear sky
35,Atuona,PF,-9.8,-139.0333,79.09,76,22,20.6,few clouds
36,Banda Aceh,ID,5.5577,95.3222,78.24,85,41,11.83,scattered clouds
37,Araouane,ML,18.9048,-3.5265,71.2,17,28,10.89,scattered clouds
38,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,2.3,haze
39,Yellowknife,CA,62.456,-114.3525,-35.88,67,20,3.44,mist
40,Cherskiy,RU,68.75,161.3,-32.57,90,100,0.36,overcast clouds
41,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,85,100,6.82,overcast clouds
42,Biloela,AU,-24.4167,150.5,68.38,77,100,15.61,overcast clouds
43,Ushuaia,AR,-54.8,-68.3,53.26,54,75,28.77,light rain
44,Gorontalo,ID,0.5412,123.0595,73.92,91,94,3.42,overcast clouds
45,Tasiilaq,GL,65.6145,-37.6368,8.76,61,0,4.52,clear sky
46,Qaanaaq,GL,77.484,-69.3632,-4.36,70,100,1.03,overcast clouds
47,Mackenzie,CA,55.2999,-123.1698,-12.78,77,90,10.36,snow
48,Mataura,NZ,-46.1927,168.8643,56.48,90,98,5.37,overcast clouds
49,Richards Bay,ZA,-28.783,32.0377,71.1,92,80,4.63,light rain
50,Bredasdorp,ZA,-34.5322,20.0403,61.29,65,12,13.73,few clouds
51,Bluff,NZ,-46.6,168.3333,56.8,78,98,23.96,light rain
52,Leshukonskoye,RU,64.8989,45.7622,17.46,93,100,7.09,overcast clouds
53,Vuktyl,RU,63.8567,57.3094,-8.93,98,93,8.16,overcast clouds
54,Gotsu,JP,35.0,132.2167,44.53,71,100,26.46,overcast clouds
55,Punta Arenas,CL,-53.15,-70.9167,55.42,47,40,36.82,scattered clouds
56,Kefamenanu,ID,-9.4467,124.4781,71.37,93,100,1.86,overcast clouds
57,Vaini,TO,-21.2,-175.2,80.76,89,40,3.44,scattered clouds
58,Ribeira Grande,PT,38.5167,-28.7,63.0,67,40,18.41,scattered clouds
59,Nome,US,64.5011,-165.4064,-0.33,71,75,20.71,broken clouds
60,Longyearbyen,SJ,78.2186,15.6401,4.84,72,0,14.97,clear sky
61,Hobart,AU,-42.8794,147.3294,57.11,83,75,1.01,broken clouds
62,Chapais,CA,49.7834,-74.8492,10.18,93,94,3.27,overcast clouds
63,Lorengau,PG,-2.0226,147.2712,81.54,79,100,8.55,overcast clouds
64,Mondeville,FR,49.175,-0.3224,58.78,100,90,12.66,overcast clouds
65,Rio Cuarto,AR,-33.1307,-64.3499,95.67,34,0,23.02,clear sky
66,Morondava,MG,-20.2833,44.2833,81.59,76,40,10.65,scattered clouds
67,Tam Ky,VN,15.5667,108.4833,69.78,90,78,5.3,broken clouds
68,Asau,RO,46.4333,26.4,26.96,98,100,1.63,overcast clouds
69,Grand Gaube,MU,-20.0064,57.6608,77.4,79,15,5.01,few clouds
70,Hualmay,PE,-11.0964,-77.6139,71.96,78,68,8.55,broken clouds
71,Kapaa,US,22.0752,-159.319,75.52,81,90,3.0,light rain
72,Sitka,US,57.0531,-135.33,40.89,87,90,12.66,mist
73,Campo De Criptana,ES,39.4046,-3.1249,46.92,76,2,3.51,clear sky
74,Kailua,US,21.4022,-157.7394,76.14,78,96,5.99,overcast clouds
75,Karchaghbyur,AM,40.1705,45.5779,22.12,55,88,3.74,overcast clouds
76,Mahebourg,MU,-20.4081,57.7,77.29,78,75,11.5,light rain
77,Locri,IT,38.2414,16.2623,61.95,85,100,6.15,overcast clouds
78,Westport,US,41.1415,-73.3579,45.09,91,90,1.99,overcast clouds
79,Kahului,US,20.8947,-156.47,78.06,85,20,11.5,few clouds
80,Penalva,BR,-3.2942,-45.1736,82.54,77,90,3.74,light rain
81,Sabaudia,IT,41.3003,13.0282,56.77,95,21,6.24,few clouds
82,Upernavik,GL,72.7868,-56.1549,-4.34,97,82,8.95,broken clouds
83,Lompoc,US,34.6391,-120.4579,54.52,85,90,12.66,overcast clouds
84,Mandal,IN,25.45,74.5667,53.89,74,2,3.94,clear sky
85,Narasannapeta,IN,18.4167,84.05,69.08,87,0,5.88,clear sky
86,Montalban,FR,44.0167,1.35,60.51,86,100,5.48,overcast clouds
87,Jamestown,US,42.097,-79.2353,40.32,70,90,5.99,mist
88,Del Rio,US,29.3627,-100.8968,79.81,70,1,5.75,clear sky
89,Butaritari,KI,3.0707,172.7902,80.2,78,80,7.52,light rain
90,Laguna,US,38.421,-121.4238,48.25,93,90,1.01,mist
91,Pontian Kecil,MY,1.4801,103.3899,78.93,92,97,6.62,overcast clouds
92,Kongoussi,BF,13.3258,-1.5347,74.19,13,10,8.68,clear sky
