City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2021-12-20 20:41:54,72.7868,-56.1549,29.39,68,100,6.69
1,Hilo,US,2021-12-20 20:41:54,19.7297,-155.09,74.25,43,90,5.75
2,Cidreira,BR,2021-12-20 20:41:54,-30.1811,-50.2056,75.99,72,57,7.85
3,Esperance,AU,2021-12-20 20:38:15,-33.8667,121.9,57.04,81,3,5.84
4,Hobart,AU,2021-12-20 20:40:18,-42.8794,147.3294,62.02,51,75,16.11
5,Nikolskoye,RU,2021-12-20 20:41:55,59.7035,30.7861,7.81,95,100,6.93
6,Puerto Ayora,EC,2021-12-20 20:41:55,-0.7393,-90.3518,80.56,87,93,5.99
7,Butaritari,KI,2021-12-20 20:41:56,3.0707,172.7902,82.17,68,100,13.73
8,Jaciara,BR,2021-12-20 20:41:56,-15.9653,-54.9683,75.99,92,100,3.09
9,Port Alfred,ZA,2021-12-20 20:41:56,-33.5906,26.891,69.8,89,47,19.91
10,Georgetown,MY,2021-12-20 20:41:57,5.4112,100.3354,78.89,88,20,3.0
11,San Vicente,AR,2021-12-20 20:41:57,-26.6167,-54.1333,74.05,73,91,2.82
12,Dikson,RU,2021-12-20 20:41:57,73.5069,80.5464,-20.06,95,100,12.12
13,Gigmoto,PH,2021-12-20 20:41:58,13.7796,124.39,78.98,88,100,9.6
14,Bud,US,2021-12-20 20:41:58,39.447,-86.1758,45.12,61,0,7.63
15,Rawson,AR,2021-12-20 20:40:49,-43.3002,-65.1023,77.23,40,0,28.03
16,Krasnoselkup,RU,2021-12-20 20:41:58,65.7,82.4667,-32.53,95,35,5.66
17,Albany,US,2021-12-20 20:41:07,42.6001,-73.9662,34.66,62,43,1.99
18,Oktyabrskoye,RU,2021-12-20 20:41:59,43.0645,44.7417,26.74,100,13,6.71
19,Nanortalik,GL,2021-12-20 20:41:59,60.1432,-45.2371,41.99,77,37,32.95
20,Kodiak,US,2021-12-20 20:41:59,57.79,-152.4072,33.31,80,1,6.91
21,Pangnirtung,CA,2021-12-20 20:40:12,66.1451,-65.7125,6.8,78,90,13.8
22,Lasa,IT,2021-12-20 20:42:00,46.6166,10.7002,31.08,44,7,4.16
23,Arraial Do Cabo,BR,2021-12-20 20:42:00,-22.9661,-42.0278,78.76,73,20,18.41
24,Gladstone,AU,2021-12-20 20:42:00,-23.85,151.25,72.79,88,40,6.91
25,Kruisfontein,ZA,2021-12-20 20:42:01,-34.0033,24.7314,67.89,80,94,10.47
26,Qaanaaq,GL,2021-12-20 20:42:01,77.484,-69.3632,24.82,63,100,11.65
27,Hermanus,ZA,2021-12-20 20:42:02,-34.4187,19.2345,68.81,84,99,15.37
28,Saskylakh,RU,2021-12-20 20:42:02,71.9167,114.0833,-7.19,96,99,8.32
29,Ushuaia,AR,2021-12-20 20:39:28,-54.8,-68.3,51.42,62,75,39.12
30,Busselton,AU,2021-12-20 20:42:02,-33.65,115.3333,60.08,90,92,11.88
31,Padang,ID,2021-12-20 20:42:03,-0.9492,100.3543,76.23,84,57,3.47
32,Hualmay,PE,2021-12-20 20:42:03,-11.0964,-77.6139,72.3,71,7,10.83
33,Darnah,LY,2021-12-20 20:42:03,32.767,22.6367,57.76,75,48,14.45
34,Lagoa,PT,2021-12-20 20:42:04,39.05,-27.9833,60.98,79,63,26.44
35,Katobu,ID,2021-12-20 20:42:04,-4.9408,122.5276,76.21,93,100,1.92
36,Kapaa,US,2021-12-20 20:42:05,22.0752,-159.319,79.12,72,20,1.99
37,Vaini,TO,2021-12-20 20:42:05,-21.2,-175.2,84.36,79,40,9.22
38,Mahanoro,MG,2021-12-20 20:38:21,-19.9,48.8,75.18,93,100,2.15
39,San Patricio,US,2021-12-20 20:42:05,28.017,-97.5169,64.81,47,0,6.22
40,Mahebourg,MU,2021-12-20 20:42:06,-20.4081,57.7,77.29,88,75,3.44
41,Gulf Gate Estates,US,2021-12-20 20:42:06,27.2517,-82.5147,78.98,56,98,8.99
42,Jamestown,US,2021-12-20 20:40:49,42.097,-79.2353,39.29,55,1,7.0
43,Rikitea,PF,2021-12-20 20:42:06,-23.1203,-134.9692,76.1,78,100,18.75
44,Barrow,US,2021-12-20 20:41:09,71.2906,-156.7887,15.82,73,90,35.68
45,Faya,SA,2021-12-20 20:42:07,18.3851,42.4509,57.31,85,78,4.36
46,Conceicao Do Araguaia,BR,2021-12-20 20:42:07,-8.2578,-49.2647,79.3,89,98,3.74
47,Flin Flon,CA,2021-12-20 20:43:08,54.7682,-101.865,-5.96,65,20,9.22
48,Punta Arenas,CL,2021-12-20 20:42:22,-53.15,-70.9167,57.31,51,20,35.68
49,Kaitangata,NZ,2021-12-20 20:43:08,-46.2817,169.8464,58.93,71,60,13.8
50,Nezhinka,RU,2021-12-20 20:43:09,51.7676,55.3694,28.56,93,90,11.18
51,Linhares,BR,2021-12-20 20:43:09,-19.3911,-40.0722,72.84,83,42,7.07
52,Ponta Do Sol,PT,2021-12-20 20:43:09,32.6667,-17.1,71.01,94,91,17.85
53,Bambous Virieux,MU,2021-12-20 20:43:10,-20.3428,57.7575,77.25,88,75,3.44
54,Atuona,PF,2021-12-20 20:43:10,-9.8,-139.0333,77.83,72,1,11.61
55,Burns Lake,CA,2021-12-20 20:42:15,54.2331,-125.7533,-2.78,78,55,2.3
56,New Norfolk,AU,2021-12-20 20:43:10,-42.7826,147.0587,62.65,47,91,8.01
57,Marataizes,BR,2021-12-20 20:43:11,-21.0433,-40.8244,74.23,78,11,6.78
58,Sorland,NO,2021-12-20 20:43:11,67.667,12.6934,33.87,62,100,13.24
59,Lavrentiya,RU,2021-12-20 20:43:11,65.5833,-171.0,-6.63,83,10,9.91
60,Richards Bay,ZA,2021-12-20 20:43:12,-28.783,32.0377,71.02,80,97,6.78
61,Muravlenko,RU,2021-12-20 20:43:12,63.7898,74.523,-14.98,87,100,15.75
62,Huarmey,PE,2021-12-20 20:43:12,-10.0681,-78.1522,72.95,72,13,11.14
63,Kieta,PG,2021-12-20 20:43:13,-6.2167,155.6333,81.39,80,100,3.06
64,Boyuibe,BO,2021-12-20 20:43:13,-20.4167,-63.2833,78.71,96,100,2.37
65,Mataura,NZ,2021-12-20 20:43:13,-46.1927,168.8643,56.48,98,100,8.77
66,Meulaboh,ID,2021-12-20 20:43:14,4.1363,96.1285,75.33,92,100,1.61
67,Fairbanks,US,2021-12-20 20:39:02,64.8378,-147.7164,32.31,92,90,6.91
68,Ilulissat,GL,2021-12-20 20:43:14,69.2167,-51.1,46.42,42,75,20.71
69,Tymovskoye,RU,2021-12-20 20:43:15,50.8456,142.655,-7.01,98,54,1.7
70,Talnakh,RU,2021-12-20 20:43:15,69.4865,88.3972,-31.11,93,58,3.74
71,Santa Cruz Del Sur,CU,2021-12-20 20:43:16,20.7147,-77.9956,82.6,57,19,5.75
72,Avarua,CK,2021-12-20 20:43:16,-21.2078,-159.775,82.45,74,40,6.91
73,Saryg-Sep,RU,2021-12-20 20:43:17,51.5,95.6,14.76,96,100,0.87
74,Bandarbeyla,SO,2021-12-20 20:43:18,9.4942,50.8122,77.2,75,71,16.24
75,Antofagasta,CL,2021-12-20 20:42:21,-23.65,-70.4,67.28,77,99,6.58
76,Cape Town,ZA,2021-12-20 20:43:19,-33.9258,18.4232,77.41,71,0,3.0
77,Kavieng,PG,2021-12-20 20:43:19,-2.5744,150.7967,81.46,79,100,11.5
78,Xingcheng,CN,2021-12-20 20:43:19,40.6167,120.7167,30.85,53,0,12.06
79,Severo-Kurilsk,RU,2021-12-20 20:43:20,50.6789,156.125,22.44,69,100,4.79
80,Cabo San Lucas,MX,2021-12-20 20:39:15,22.8909,-109.9124,79.52,46,75,3.0
81,Athabasca,CA,2021-12-20 20:43:20,54.7169,-113.2854,5.41,86,87,4.88
82,Coquimbo,CL,2021-12-20 20:43:20,-29.9533,-71.3436,64.13,77,75,10.36
83,Baisha,CN,2021-12-20 20:43:21,26.5222,110.9311,50.92,79,91,1.83
84,Tiksi,RU,2021-12-20 20:43:21,71.6872,128.8694,-14.4,98,93,7.7
85,Saint George,US,2021-12-20 20:38:32,37.1041,-113.5841,57.67,42,1,0.0
86,Nelson Bay,AU,2021-12-20 20:43:21,-32.7167,152.15,76.08,92,0,1.01
87,San-Pedro,CI,2021-12-20 20:43:22,4.7485,-6.6363,80.47,82,46,6.91
88,Katsuura,JP,2021-12-20 20:43:22,35.1333,140.3,41.11,71,0,6.82
89,Naryan-Mar,RU,2021-12-20 20:43:22,67.6713,53.087,-0.98,85,100,13.67
90,San Cristobal,VE,2021-12-20 20:43:23,7.7669,-72.225,78.98,68,92,1.23
91,Torbay,CA,2021-12-20 20:43:23,47.6666,-52.7314,24.67,75,75,12.66
92,Te Anau,NZ,2021-12-20 20:44:23,-45.4167,167.7167,54.75,92,100,9.98
93,Hithadhoo,MV,2021-12-20 20:44:24,-0.6,73.0833,82.31,73,100,4.27
94,Mehamn,NO,2021-12-20 20:44:24,71.0357,27.8492,28.58,80,75,5.75
95,Ilam,NP,2021-12-20 20:44:24,26.9167,87.9167,48.18,62,0,6.31
96,Godo,JP,2021-12-20 20:44:25,35.4167,136.6,42.82,99,53,2.46
97,Belle Fourche,US,2021-12-20 20:44:25,44.6714,-103.8522,29.05,64,38,9.48
98,Chuy,UY,2021-12-20 20:44:25,-33.6971,-53.4616,74.64,66,57,11.48
99,Bahia Blanca,AR,2021-12-20 20:44:26,-38.7196,-62.2724,81.19,41,100,15.28
100,Mount Isa,AU,2021-12-20 20:44:26,-20.7333,139.5,80.37,61,42,2.3
101,Boa Vista,BR,2021-12-20 20:44:26,2.8197,-60.6733,89.58,48,75,5.75
102,Northam,GB,2021-12-20 20:44:27,51.0333,-4.2167,47.01,85,98,15.03
103,Castro,BR,2021-12-20 20:44:27,-24.7911,-50.0119,76.19,49,2,2.62
104,Broome,US,2021-12-20 20:44:27,42.2506,-75.833,37.62,60,1,1.01
105,Aksu,CN,2021-12-20 20:44:28,41.1231,80.2644,24.35,54,100,0.34
106,Thompson,CA,2021-12-20 20:44:28,55.7435,-97.8558,-12.84,70,90,10.36
107,Cayenne,GF,2021-12-20 20:44:28,4.9333,-52.3333,86.04,78,0,4.0
108,Caravelas,BR,2021-12-20 20:44:29,-17.7125,-39.2481,74.48,91,12,3.96
109,Flinders,AU,2021-12-20 20:44:29,-34.5833,150.8552,73.06,69,1,3.06
110,Plettenberg Bay,ZA,2021-12-20 20:44:30,-34.0527,23.3716,66.38,93,73,6.98
111,Kavaratti,IN,2021-12-20 20:44:30,10.5669,72.642,79.99,68,82,4.54
112,Vila Velha,BR,2021-12-20 20:44:30,-20.3297,-40.2925,75.15,83,75,2.3
113,Gaogou,CN,2021-12-20 20:44:30,34.0175,119.1886,40.57,52,0,6.31
114,Waiuku,NZ,2021-12-20 20:44:31,-37.25,174.75,71.26,73,100,6.78
115,Tasiilaq,GL,2021-12-20 20:44:31,65.6145,-37.6368,39.36,69,93,9.17
116,Raga,SS,2021-12-20 20:44:31,8.4596,25.678,74.73,25,71,4.09
117,Sao Joao Da Barra,BR,2021-12-20 20:44:32,-21.6403,-41.0511,77.09,76,12,9.82
118,Nome,US,2021-12-20 20:44:32,64.5011,-165.4064,28.47,74,90,3.44
119,Sosnogorsk,RU,2021-12-20 20:44:32,63.6023,53.8817,-3.95,89,100,7.99
120,Bethel,US,2021-12-20 20:44:33,41.3712,-73.414,36.72,45,12,1.01
121,Kitami,JP,2021-12-20 20:44:33,43.8031,143.8908,26.11,78,100,6.08
122,Iqaluit,CA,2021-12-20 20:44:33,63.7506,-68.5145,-2.47,78,75,8.05
123,Saint-Philippe,RE,2021-12-20 20:44:34,-21.3585,55.7679,77.49,85,93,9.42
124,Kota Kinabalu,MY,2021-12-20 20:44:34,5.9749,116.0724,75.18,94,20,3.44
125,Ballina,AU,2021-12-20 20:44:35,-28.8667,153.5667,77.18,86,16,10.36
126,Longyearbyen,SJ,2021-12-20 20:44:35,78.2186,15.6401,19.24,79,75,10.36
127,Janauba,BR,2021-12-20 20:44:35,-15.8025,-43.3089,73.96,89,23,6.76
128,Fort Nelson,CA,2021-12-20 20:44:36,58.8053,-122.7002,7.88,86,100,0.54
129,West Bay,KY,2021-12-20 20:43:30,19.3667,-81.4167,86.07,71,20,1.99
130,Khatanga,RU,2021-12-20 20:44:36,71.9667,102.5,-15.16,97,98,11.12
131,Sao Filipe,CV,2021-12-20 20:44:37,14.8961,-24.4956,74.61,78,100,9.44
132,Sabinas Hidalgo,MX,2021-12-20 20:44:37,26.5,-100.1667,68.58,37,0,5.66
133,Jingdezhen,CN,2021-12-20 20:44:37,29.2947,117.2079,47.53,72,74,1.59
134,Pacific Grove,US,2021-12-20 20:44:41,36.6177,-121.9166,58.42,63,100,5.01
135,Carutapera,BR,2021-12-20 20:45:38,-1.195,-46.02,80.89,76,100,7.83
136,Honiara,SB,2021-12-20 20:40:45,-9.4333,159.95,81.9,81,95,1.48
137,Port Elizabeth,ZA,2021-12-20 20:44:06,-33.918,25.5701,70.11,94,20,13.8
138,Seal Beach,US,2021-12-20 20:45:38,33.7414,-118.1048,70.84,52,75,1.01
139,Nabire,ID,2021-12-20 20:45:38,-3.3667,135.4833,74.32,92,100,3.89
140,College,US,2021-12-20 20:41:24,64.8569,-147.8028,37.06,93,90,6.91
141,Cherskiy,RU,2021-12-20 20:45:39,68.75,161.3,-14.46,97,100,23.4
142,Kalmunai,LK,2021-12-20 20:45:39,7.4167,81.8167,76.93,81,9,5.41
143,Pijijiapan,MX,2021-12-20 20:45:40,15.7011,-93.23,89.74,52,16,8.81
144,East London,ZA,2021-12-20 20:45:04,-33.0153,27.9116,70.86,86,62,16.04
145,Haines Junction,CA,2021-12-20 20:44:18,60.7522,-137.5108,-7.65,77,100,2.3
146,Mogok,MM,2021-12-20 20:45:40,22.9167,96.5,51.42,81,0,2.19
147,Kanye,BW,2021-12-20 20:45:40,-24.9667,25.3327,64.89,62,78,10.38
148,Veshenskaya,RU,2021-12-20 20:45:41,49.6303,41.7334,26.6,89,84,5.35
149,Bredasdorp,ZA,2021-12-20 20:45:41,-34.5322,20.0403,68.29,88,87,12.66
150,Sunrise Manor,US,2021-12-20 20:45:41,36.2111,-115.0731,58.24,30,1,0.0
151,Harper,LR,2021-12-20 20:45:42,4.375,-7.7169,80.76,80,39,10.54
152,Isla Mujeres,MX,2021-12-20 20:45:42,21.2311,-86.731,84.16,69,39,9.28
153,Millport,GB,2021-12-20 20:45:42,55.7535,-4.9256,40.51,88,62,5.08
154,Zhigalovo,RU,2021-12-20 20:45:43,54.8097,105.1578,-36.18,100,49,2.08
155,Lompoc,US,2021-12-20 20:45:43,34.6391,-120.4579,61.57,69,75,3.0
156,Igurubi,TZ,2021-12-20 20:45:43,-4.0,33.7,71.82,77,100,3.49
157,Tchibanga,GA,2021-12-20 20:45:44,-2.85,11.0333,73.53,98,100,1.03
158,Phalombe,MW,2021-12-20 20:45:44,-15.8064,35.6507,68.14,91,51,2.86
159,Cockburn Town,TC,2021-12-20 20:45:44,21.4612,-71.1419,79.74,74,2,14.67
160,Bluff,NZ,2021-12-20 20:45:45,-46.6,168.3333,56.8,76,60,35.46
161,Bull Savanna,JM,2021-12-20 20:40:51,17.8868,-77.5902,79.21,64,1,9.15
